"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTheta) []"
1.421,0,0,-7.69674204609092
1.421,0,2,-7.845843701121
1.421,0,4,-7.9767530424309
1.421,0,6,-8.05371065906799
1.421,0,8,-8.04358687931171
1.421,0,10,-7.92241311487322
1.421,0,12,-7.68080418026387
1.421,0,14,-7.32517820504009
1.421,0,16,-6.87396034007727
1.421,0,18,-6.35101088575246
1.421,0,20,-5.77952988158414
1.421,0,22,-5.17835287623283
1.421,0,24,-4.56073372450637
1.421,0,26,-3.93477388781712
1.421,0,28,-3.3046025591488
1.421,0,30,-2.67171125316604
1.421,0,32,-2.03614060980871
1.421,0,34,-1.39740229545067
1.421,0,36,-0.75511384333146
1.421,0,38,-0.109369675409352
1.421,0,40,0.539105651035747
1.421,0,42,1.18896453933593
1.421,0,44,1.83834373599194
1.421,0,46,2.48501743194998
1.421,0,48,3.1265532831985
1.421,0,50,3.76044338731579
1.421,0,52,4.38419674880889
1.421,0,54,4.99539146207325
1.421,0,56,5.59169265244407
1.421,0,58,6.17084621739003
1.421,0,60,6.73065934396533
1.421,0,62,7.26897761057959
1.421,0,64,7.78366612618949
1.421,0,66,8.27259936612993
1.421,0,68,8.73366168337769
1.421,0,70,9.16475826952805
1.421,0,72,9.56383479926736
1.421,0,74,9.92890315249205
1.421,0,76,10.2580703889196
1.421,0,78,10.5495683965724
1.421,0,80,10.801782165341
1.421,0,82,11.0132752784212
1.421,0,84,11.1828118328989
1.421,0,86,11.3093745084501
1.421,0,88,11.3921788575396
1.421,0,90,11.4306840850647
1.421,0,92,11.4246006376193
1.421,0,94,11.3738948636981
1.421,0,96,11.2787908736971
1.421,0,98,11.1397695621285
1.421,0,100,10.9575645938599
1.421,0,102,10.7331550404703
1.421,0,104,10.4677543183807
1.421,0,106,10.1627951571035
1.421,0,108,9.81991053018769
1.421,0,110,9.44091080712448
1.421,0,112,9.02775779365333
1.421,0,114,8.58253674516473
1.421,0,116,8.10742775353691
1.421,0,118,7.60467799434589
1.421,0,120,7.07657606513308
1.421,0,122,6.52542898852191
1.421,0,124,5.9535414381009
1.421,0,126,5.36319554133947
1.421,0,128,4.75662852561568
1.421,0,130,4.13600490173065
1.421,0,132,3.50338025139719
1.421,0,134,2.86065535539779
1.421,0,136,2.20952254034339
1.421,0,138,1.55141063776239
1.421,0,140,0.887440444020498
1.421,0,142,0.218408414050954
1.421,0,144,-0.455178178703931
1.421,0,146,-1.13298678411505
1.421,0,148,-1.81463463872233
1.421,0,150,-2.4993206085298
1.421,0,152,-3.18528324881998
1.421,0,154,-3.86906627749218
1.421,0,156,-4.54460732446138
1.421,0,158,-5.20224700704126
1.421,0,160,-5.827911679717
1.421,0,162,-6.40295792094068
1.421,0,164,-6.90538446540286
1.421,0,166,-7.31304066154198
1.421,0,168,-7.60871921137547
1.421,0,170,-7.78564310133482
1.421,0,172,-7.85082378381788
1.421,0,174,-7.82442944663566
1.421,0,176,-7.73555824420472
1.421,0,178,-7.61671363512636
1.421,0,180,-7.49931265377761
